sample,strategy,longest,overlap,repeat,estimate,memory,cpu_time
ATCC_19119,long,1000,1000,0,2730270.513157895,503844,33.12
BPH2947,long,1000,1000,0,1561839.9807692308,652408,67.04
ATCC_10708,long,1000,1000,0,3699869.909090909,460228,16.59
KPC2,long,1000,1000,0,4430404.041666666,897772,52.16
RDH275,long,1000,1000,0,1619186.41798419,365772,27.73
AJ292,long,1000,1000,0,4186223.0514285713,873020,74.45
ATCC_17802,long,1000,1000,0,4836899.199999999,539548,22.29
ATCC_35221,long,1000,1000,0,1411322.3460591133,404600,35.17
AMtb_1,long,1000,1000,0,3289489.805555556,245184,8.18
MMC234,long,1000,1000,0,1211594.6976744183,491176,37.96
ATCC_33560,long,1000,1000,0,1624286.4052941175,402620,32.11
ATCC_BAA-679,long,1000,1000,0,2751289.974424552,445708,25.58
ATCC_25922,long,1000,1000,0,5382555.884615384,749672,24.38
ATCC_35897,long,1000,500,0,2643758.986111111,486924,17.37
ATCC_19119,long,1000,500,0,2686364.533333333,492488,19.37
BPH2947,long,1000,500,0,1531189.5203703702,655252,40.57
ATCC_10708,long,1000,500,0,3625530.833333333,452076,10.46
KPC2,long,1000,500,0,4028917.428571428,871420,30.77
RDH275,long,1000,500,0,1517112.0833333335,365776,15.92
AJ292,long,1000,500,0,4133257.384615385,878784,40.39
ATCC_17802,long,1000,500,0,4854478.516666667,529868,13.52
ATCC_35221,long,1000,500,0,1442968.0673076925,404600,20.15
AMtb_1,long,1000,500,0,3314279.1500000004,242620,5.35
MMC234,long,1000,500,0,1180309.0033914726,467972,21.72
ATCC_33560,long,1000,500,0,1640642.6153846153,400644,18.42
ATCC_BAA-679,long,1000,500,0,2794110.0222222223,445500,15.06
ATCC_25922,long,1000,500,0,4674939.595238095,711324,16.46
ATCC_35897,long,1000,100,0,2846873.5,441892,5.7
ATCC_19119,long,1000,100,0,2685062.5,487356,6.46
BPH2947,long,1000,100,0,1448043.8333333335,652408,10.82
ATCC_10708,long,1000,100,0,4416238.0,442696,4.99
KPC2,long,1000,100,0,3653836.3333333335,813936,10.41
RDH275,long,1000,100,0,1472260.6666666667,365204,5.22
AJ292,long,1000,100,0,3811501.333333334,868284,12.61
ATCC_17802,long,1000,100,0,5159300.25,501952,6.25
ATCC_35221,long,1000,100,0,1507758.75,404340,6.04
AMtb_1,long,1000,100,0,2865635.0,233000,3.1
MMC234,long,1000,100,0,1028484.5999999999,443748,6.53
ATCC_33560,long,1000,100,0,1548282.0,400100,5.78
ATCC_BAA-679,long,1000,100,0,2722881.5,443268,5.5
ATCC_25922,long,1000,100,0,4173462.9999999995,614032,7.36
ATCC_35897,long,1000,25000,0,2783670.6150876507,723908,252.04
ATCC_19119,long,1000,25000,0,2874860.2937504,519100,256.5
BPH2947,long,1000,25000,0,2073115.9245398196,899800,414.41
ATCC_10708,long,1000,25000,0,4149570.075757576,659236,137.97
KPC2,long,1000,25000,0,4977937.0283146575,926892,366.43
RDH275,long,1000,25000,0,1764291.9446477154,427896,204.97
AJ292,long,1000,25000,0,5037520.655313581,958496,543.71
ATCC_17802,long,1000,25000,0,4982258.597817682,760892,183.42
ATCC_35221,long,1000,25000,0,1498337.6413617504,432336,229.92
AMtb_1,long,1000,25000,0,3765145.4044326246,335968,89.92
MMC234,long,1000,25000,0,1553309.465259375,722816,274.94
ATCC_33560,long,1000,25000,0,1705261.186227668,435228,232.48
ATCC_BAA-679,long,1000,25000,0,2908657.729824026,642460,217.69
ATCC_25922,long,1000,25000,0,4869621.722156214,788356,215.78
ATCC_35897,long,1000,5000,0,2707999.9459459456,579780,103.13
ATCC_19119,long,1000,5000,0,2833812.0103228227,491356,117.74
BPH2947,long,1000,5000,0,1605625.2262280702,747900,224.25
ATCC_10708,long,1000,5000,0,3918238.5,494204,55.28
KPC2,long,1000,5000,0,4407052.73547619,1023892,187.59
RDH275,long,1000,5000,0,1707397.5058446457,396756,91.97
AJ292,long,1000,5000,0,4492742.658450047,897488,250.03
ATCC_17802,long,1000,5000,0,4939787.976990336,603676,72.55
ATCC_35221,long,1000,5000,0,1469412.3345588236,402376,114.9
AMtb_1,long,1000,5000,0,3497569.4696969697,293648,25.14
MMC234,long,1000,5000,0,1244640.5080802916,594152,131.22
ATCC_33560,long,1000,5000,0,1673568.7118517132,400660,108.54
ATCC_BAA-679,long,1000,5000,0,2837457.5590563165,510168,88.03
ATCC_25922,long,1000,5000,0,4746425.091348812,760072,87.0
ATCC_35897,long,1000,10000,0,2722802.675913547,518052,162.6
ATCC_19119,long,1000,10000,0,2871667.074736101,612828,164.09
BPH2947,long,1000,10000,0,1819391.8025632899,686020,310.84
ATCC_10708,long,1000,10000,0,4057242.6225173944,460156,80.33
KPC2,long,1000,10000,0,4593502.915954238,1108760,266.51
RDH275,long,1000,10000,0,1725283.7430610626,403808,131.48
AJ292,long,1000,10000,0,4673999.235726072,1178636,385.67
ATCC_17802,long,1000,10000,0,4948317.802710843,656792,107.54
ATCC_35221,long,1000,10000,0,1476833.1133345563,407052,172.2
AMtb_1,long,1000,10000,0,3643173.841269841,241368,43.11
MMC234,long,1000,10000,0,1384307.3103986839,643044,192.89
ATCC_33560,long,1000,10000,0,1700382.4551965217,407372,163.25
ATCC_BAA-679,long,1000,10000,0,2872406.7910447763,554260,140.65
ATCC_25922,long,1000,10000,0,4822787.544625811,772948,134.88
ATCC_35897,long,25000,1000,0,2886638.125,2413408,45.22
ATCC_19119,long,25000,1000,0,3174690.7499999995,2396272,42.06
BPH2947,long,25000,1000,0,3001400.875,2837868,48.53
ATCC_10708,long,25000,1000,0,4634109.0,2487464,35.61
KPC2,long,25000,1000,0,6847866.8,4207296,45.18
RDH275,long,25000,1000,0,1814364.375,1479316,29.22
AJ292,long,25000,1000,0,6083391.464285715,4842788,78.67
ATCC_17802,long,25000,1000,0,5239635.375,2651796,38.25
ATCC_35221,long,25000,1000,0,1671651.333333333,1465076,23.46
AMtb_1,long,25000,1000,0,4128016.666666666,2143768,40.86
MMC234,long,25000,1000,0,2078076.083333333,1947088,37.78
ATCC_33560,long,25000,1000,0,1834740.4,1589316,29.42
ATCC_BAA-679,long,25000,1000,0,3051998.571428571,2349720,41.94
ATCC_25922,long,25000,1000,0,4785672.5,2817416,46.57
ATCC_35897,long,25000,500,0,2999459.925,2406212,32.29
ATCC_19119,long,25000,500,0,3355566.0,2392020,30.18
BPH2947,long,25000,500,0,3063122.5,2829108,35.68
ATCC_10708,long,25000,500,0,4840353.999999999,2462808,25.68
KPC2,long,25000,500,0,6996781.25,4207640,39.08
RDH275,long,25000,500,0,2021529.9999999998,1474084,21.03
AJ292,long,25000,500,0,6269747.4,4801236,56.35
