accession	class	platform	truth_bp	rung_every_nth	mode	seed	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	normalization_engaged	skew_score	skew_verdict	detection_sample_reads	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	never	7	1500	750	39694	0.017	27670	1880000	no	NA	NA	NA	NA	NA	13224	5.87	no	0:02.77	190480	0	runs/SRR10353548/n19.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	never	42	1500	750	38904	0.017	27670	2100000	no	NA	NA	NA	NA	NA	13224	4.27	no	0:02.85	213144	0	runs/SRR10353548/n19.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	never	4556	1500	750	39720	0.017	27680	1890000	no	NA	NA	NA	NA	NA	13224	3.20	no	0:02.94	196120	0	runs/SRR10353548/n19.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	auto	7	1500	750	2062951	0.909	666710	2660000	yes	70.00	detected	500	3	6570	13224	1.20	no	0:00.67	145676	0	runs/SRR10353548/n19.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	auto	42	1500	750	2061288	0.908	514640	2650000	yes	63.00	detected	500	3	6556	13224	1.33	no	0:00.67	170308	0	runs/SRR10353548/n19.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	auto	4556	1500	750	2124058	0.936	601620	2720000	yes	69.00	detected	500	3	6549	13224	2.27	no	0:00.67	175568	0	runs/SRR10353548/n19.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	always	7	1500	750	2062951	0.909	666710	2660000	yes	NA	not reported	500	3	6570	13224	1.20	no	0:00.67	147904	0	runs/SRR10353548/n19.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	always	42	1500	750	2061288	0.908	514640	2650000	yes	NA	not reported	500	3	6556	13224	1.33	no	0:00.68	173320	0	runs/SRR10353548/n19.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	19	always	4556	1500	750	2124058	0.936	601620	2720000	yes	NA	not reported	500	3	6549	13224	2.27	no	0:00.68	180560	0	runs/SRR10353548/n19.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	never	7	1500	750	39347	0.017	28680	2420000	no	NA	NA	NA	NA	NA	9664	3.87	no	0:03.09	209888	0	runs/SRR10353548/n26.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	never	42	1500	750	41769	0.018	27560	1690000	no	NA	NA	NA	NA	NA	9664	5.73	no	0:03.02	216384	0	runs/SRR10353548/n26.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	never	4556	1500	750	40081	0.018	27850	2270000	no	NA	NA	NA	NA	NA	9664	6.00	no	0:02.93	213252	0	runs/SRR10353548/n26.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	auto	7	1500	750	2235648	0.985	713700	2780000	yes	72.00	detected	500	2	4632	9664	1.47	no	0:00.56	167000	0	runs/SRR10353548/n26.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	auto	42	1500	750	2236845	0.985	897160	2800000	yes	68.00	detected	500	2	4652	9664	0.80	no	0:00.56	168660	0	runs/SRR10353548/n26.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	auto	4556	1500	750	2227321	0.981	868640	2620000	yes	79.00	detected	500	2	4658	9664	2.80	no	0:00.56	166480	0	runs/SRR10353548/n26.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	always	7	1500	750	2235648	0.985	713700	2780000	yes	NA	not reported	500	2	4632	9664	1.47	no	0:00.58	166856	0	runs/SRR10353548/n26.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	always	42	1500	750	2236845	0.985	897160	2800000	yes	NA	not reported	500	2	4652	9664	0.80	no	0:00.57	175128	0	runs/SRR10353548/n26.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	26	always	4556	1500	750	2227321	0.981	868640	2620000	yes	NA	not reported	500	2	4658	9664	2.80	no	0:00.57	166904	0	runs/SRR10353548/n26.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	never	7	1500	750	39765	0.018	28730	2170000	no	NA	NA	NA	NA	NA	6612	5.20	no	0:02.74	187944	0	runs/SRR10353548/n38.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	never	42	1500	750	39018	0.017	28080	1970000	no	NA	NA	NA	NA	NA	6612	4.93	no	0:03.03	196712	0	runs/SRR10353548/n38.never.s42
